,,,,,,,,,,,,,,,,,,,,,,,,,,
업종코드-10차 표준산업분류 연계표,,,,,,,,,,,,,,,,,,,,,,,,,,
일련번호,,,,,,,,,,,,,,,,,,,,,,,,세부설명,,
,"2021년 귀속
업종코드",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,"표준산업
분류",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,메인,,,
46,141006,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,1,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,3,,공업용 모래 채취,,
47,142101,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,1,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,,"활석, 장석 및 규조토",,
48,142102,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,1,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,3,,납석,,
49,142104,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,1,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,3,1,,,
50,142200,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1422,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,1,07220,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0722,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,1,,,,
51,142902,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1429,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,1,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,1,,,
52,142909,B,광업,14,"석탄, 원유 및 천연가스 광업",142,원유 및 천연가스 채굴업,1429,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,1,05200,B,광업,05,"석탄, 원유 및 천연가스 광업",052,원유 및 천연가스 채굴업,0520,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,1,,,,
53,142910,B,광업,14,광업 지원 서비스업,142,광업 지원 서비스업,1429,광업 지원 서비스업,광업 지원 서비스업,1,08000,B,광업,08,광업 지원 서비스업,080,광업 지원 서비스업,0800,광업 지원 서비스업,광업 지원 서비스업,1,,,,
54,143101,B,광업,14,금속 광업,143,비철금속 광업,1431,비철금속 광업,비철금속 광업(조광권자),1,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,4,,조광권자,,
55,143103,B,광업,14,금속 광업,143,철 광업,1431,철 광업,철 광업(조광권자),1,06100,B,광업,06,금속 광업,061,철 광업,0610,철 광업,철 광업,2,,조광권자,,
